Date,Open,High,Low,Close,Volume,Close
2015/4/3,25.55,25.55,25.55,25.55,0,25.55
2015/4/6,25.55,25.55,25.55,25.55,0,25.55
2015/4/7,25.8,26.2,25.55,25.6,1829000,25.6
2015/4/8,25.8,25.8,25,25.65,1571000,25.65
2015/4/9,25.7,26.2,25.7,26.1,2075000,26.1
2015/4/10,26.5,27.8,26.25,27.45,6459000,27.45
2015/4/13,27.65,27.7,26.8,27.5,3100000,27.5
2015/4/14,27.5,27.7,27.3,27.7,1758000,27.7
2015/4/15,27.45,28.25,27,27.45,4100000,27.45
2015/4/16,27.45,27.9,27.45,27.5,1029000,27.5
2015/4/17,27.5,27.9,27,27.55,2561000,27.55
2015/4/20,27.6,28,27.5,27.65,1031000,27.65
2015/4/21,27.75,27.95,27.6,27.65,1733000,27.65
2015/4/22,27.65,28.75,27.65,27.7,3125000,27.7
2015/4/23,27.8,28,27.65,27.65,872000,27.65
2015/4/24,27.05,27.7,27.05,27.5,1696000,27.5
2015/4/27,27.5,27.95,27.5,27.5,1499000,27.5
2015/4/28,27.65,28.6,26.9,28.15,3952000,28.15
2015/4/29,28.15,28.95,27.95,28.2,2966000,28.2
2015/4/30,28.4,28.4,27.95,28.25,687000,28.25
2015/5/1,28.25,28.25,28.25,28.25,0,28.25
2015/5/4,28.25,29,28.2,28.25,1390000,28.25
2015/5/5,28.25,29.6,28,29.45,4272000,29.45
2015/5/6,29.45,29.85,29.4,29.55,2617000,29.55
2015/5/7,29.55,29.9,29.55,29.55,1908000,29.55
2015/5/8,29.6,29.75,29.3,29.3,1914000,29.3
2015/5/11,29.3,29.45,28.85,29.4,2685000,29.4
2015/5/12,29.4,29.55,29.2,29.35,1817000,29.35
2015/5/13,29.35,29.45,29.25,29.35,1522000,29.35
2015/5/14,29.35,29.45,29.25,29.45,2071000,29.45
2015/5/15,29.4,29.6,29.4,29.45,1615000,29.45
2015/5/18,29.45,29.5,29.3,29.45,1881000,29.45
2015/5/19,29.4,29.55,29.35,29.45,1496000,29.45
2015/5/20,29.4,29.45,29.25,29.35,1224000,29.35
2015/5/21,29.35,29.4,27.3,27.3,4074000,27.3
2015/5/22,25.4,26.45,25.4,25.4,4591000,25.4
2015/5/25,25.4,26.25,25.15,26.2,3999000,26.2
2015/5/26,26.2,28,26.2,27.4,3268000,27.4
2015/5/27,27.4,28.1,27.4,27.45,1482000,27.45
2015/5/28,27.7,27.8,26.25,27.05,1542000,27.05
2015/5/29,27.05,27.15,26.7,27,1184000,27
2015/6/1,28,28,27.15,27.5,1287000,27.5
2015/6/2,27.7,27.7,27.1,27.2,724000,27.2
2015/6/3,27.5,27.9,27.3,27.5,941000,27.5
2015/6/4,27.3,27.55,27.1,27.25,850000,27.25
2015/6/5,27.25,27.5,26.9,27.35,905000,27.35
2015/6/8,27.2,27.65,27.2,27.4,1053000,27.4
2015/6/9,27.8,27.8,27.2,27.25,1466000,27.25
2015/6/10,27.25,28.2,26.85,28.2,2351000,28.2
2015/6/11,28.3,29,28.25,28.35,3487000,28.35
